iter	Passed	Remaining
0	54	54290
1	55	27498
2	55	18516
3	56	14054
4	57	11377
5	57	9599
6	58	8328
7	59	7377
8	60	6643
9	61	6039
10	61	5530
11	62	5107
12	62	4748
13	63	4444
14	63	4179
15	64	3946
16	64	3746
17	65	3565
18	65	3397
19	66	3255
20	67	3136
21	67	3020
22	68	2910
23	69	2806
24	69	2710
25	70	2623
26	70	2540
27	70	2464
28	72	2427
29	73	2367
30	73	2306
31	74	2247
32	74	2192
33	75	2140
34	75	2089
35	76	2042
36	76	1997
37	77	1955
38	77	1914
39	78	1882
40	78	1847
41	79	1816
42	80	1783
43	84	1826
44	84	1793
45	84	1762
46	85	1733
47	86	1706
48	86	1680
49	87	1666
50	88	1643
51	88	1621
52	89	1597
53	90	1576
54	90	1557
55	91	1538
56	91	1520
57	92	1503
58	93	1485
59	93	1469
60	94	1454
61	95	1439
62	96	1429
63	97	1419
64	97	1404
65	98	1388
66	98	1375
67	99	1361
68	99	1348
69	101	1345
70	101	1333
71	102	1321
72	103	1309
73	103	1296
74	104	1284
75	104	1272
76	105	1259
77	105	1246
78	105	1235
79	106	1224
80	106	1213
81	107	1202
82	107	1188
83	108	1178
84	108	1169
85	109	1160
86	109	1153
87	110	1144
88	111	1136
89	111	1127
90	112	1119
91	112	1110
92	112	1101
93	113	1091
94	113	1082
95	114	1074
96	114	1066
97	114	1057
98	116	1056
99	116	1049
100	117	1041
101	117	1034
102	117	1026
103	118	1019
104	118	1011
105	119	1004
106	119	997
107	119	990
108	120	982
109	120	975
110	121	969
111	121	962
112	121	956
113	122	949
114	122	943
115	123	939
116	123	933
117	124	927
118	124	922
119	124	916
120	125	911
121	125	905
122	126	899
123	126	894
124	127	889
125	127	884
126	127	878
127	128	872
128	128	868
129	128	862
130	129	858
131	130	860
132	131	855
133	131	850
134	131	845
135	132	841
136	132	836
137	133	832
138	133	827
139	134	823
140	134	818
141	134	813
142	135	809
143	135	805
144	135	801
145	136	797
146	136	793
147	137	789
148	137	785
149	138	782
150	138	778
151	138	774
152	139	771
153	139	768
154	140	765
155	141	762
156	141	759
157	141	756
158	142	753
159	143	752
160	145	759
161	146	756
162	146	753
163	147	752
164	148	751
165	150	756
166	151	753
167	151	750
168	152	748
169	152	745
170	153	742
171	153	739
172	154	737
173	154	734
174	155	731
175	155	729
176	156	727
177	157	725
178	158	726
179	158	723
180	159	721
181	160	722
182	161	720
183	162	721
184	163	718
185	163	715
186	163	712
187	164	709
188	164	707
189	165	704
190	165	702
191	166	700
192	166	697
193	167	694
194	167	692
195	168	689
196	168	687
197	169	686
198	170	684
199	170	681
200	170	679
201	172	682
202	173	681
203	174	679
204	174	676
205	174	673
206	176	674
207	178	677
208	178	675
209	178	673
210	179	671
211	179	668
212	180	666
213	181	665
214	181	663
215	182	661
216	183	662
217	184	661
218	186	664
219	187	663
220	187	661
221	188	659
222	188	658
223	189	656
224	189	654
225	190	651
226	190	649
227	191	649
228	192	647
229	193	646
230	193	644
231	194	642
232	199	656
233	200	655
234	200	653
235	201	651
236	202	652
237	203	651
238	203	649
239	204	647
240	204	644
241	205	642
242	205	640
243	206	638
244	206	636
245	207	634
246	207	632
247	207	630
248	208	629
249	209	627
250	209	626
251	210	625
252	212	626
253	213	625
254	213	623
255	213	621
256	214	619
257	216	622
258	216	620
259	217	617
260	217	615
261	217	613
262	218	611
263	218	609
264	218	607
265	219	605
266	219	603
267	220	600
268	220	598
269	221	597
270	221	596
271	222	594
272	222	592
273	223	590
274	223	589
275	223	587
276	224	585
277	227	589
278	227	588
279	228	587
280	229	586
281	229	584
282	229	582
283	230	580
284	230	578
285	231	577
286	231	575
287	232	573
288	232	572
289	233	572
290	234	570
291	234	568
292	234	566
293	235	565
294	236	564
295	236	562
296	236	560
297	239	563
298	239	561
299	240	560
300	240	558
301	240	556
302	241	554
303	242	556
304	243	554
305	243	552
306	244	551
307	244	549
308	244	547
309	245	545
310	245	543
311	245	542
312	246	540
313	246	538
314	246	537
315	247	536
316	248	534
317	248	533
318	249	531
319	249	530
320	250	529
321	250	527
322	250	525
323	252	526
324	253	526
325	253	524
326	254	523
327	254	521
328	254	520
329	256	519
330	256	518
331	256	517
332	257	515
333	257	514
334	258	512
335	258	511
336	259	509
337	259	507
338	259	506
339	260	504
340	260	503
341	260	501
342	261	500
343	261	498
344	262	498
345	263	497
346	263	496
347	264	495
348	265	494
349	265	493
350	268	496
351	270	497
352	273	500
353	273	499
354	274	498
355	274	497
356	275	496
357	276	495
358	277	494
359	277	493
360	277	491
361	278	490
362	279	489
363	279	488
364	283	493
365	284	492
366	284	490
367	286	492
368	287	491
369	287	490
370	288	488
371	288	487
372	289	486
373	289	484
374	290	483
375	290	481
376	290	480
377	291	479
378	291	478
379	292	477
380	292	475
381	293	474
382	293	473
383	294	472
384	294	470
385	295	470
386	296	469
387	299	471
388	299	470
389	299	469
390	300	468
391	301	467
392	301	466
393	302	465
394	303	464
395	303	463
396	306	464
397	307	464
398	307	463
399	308	462
400	310	463
401	311	462
402	311	461
403	312	460
404	314	461
405	314	460
406	315	459
407	315	458
408	316	457
409	316	455
410	317	454
411	317	453
412	318	452
413	318	450
414	318	449
415	319	448
416	320	447
417	320	446
418	321	445
419	321	443
420	321	442
421	322	442
422	323	441
423	324	440
424	324	439
425	325	438
426	325	436
427	325	435
428	326	434
429	326	432
430	327	431
431	327	430
432	327	429
433	328	428
434	328	427
435	329	426
436	329	424
437	330	423
438	330	422
439	330	421
440	331	419
441	331	418
442	331	417
443	332	416
444	333	415
445	333	414
446	334	413
447	334	412
448	334	411
449	335	409
450	337	410
451	337	409
452	338	408
453	338	407
454	339	406
455	339	405
456	340	404
457	340	403
458	340	401
459	353	414
